storenum	studentid	year	month	day	hour	minute	money
2		2013011223	2015	2	6	23	35	-13.61
2		2012012503	2015	2	11	12	24	157.76
10		2015011002	2016	4	8	10	55	-12.27
6		2014012217	2015	9	22	6	35	-6.21
10		2015013115	2016	9	19	18	19	-18.68
5		2013011248	2015	1	5	23	16	294.54
1		2012011202	2016	4	29	11	50	-6.65
3		2014011799	2015	2	23	11	28	-18.40
9		2013011385	2016	8	21	13	10	-19.80
13		2015012681	2015	2	26	22	55	-14.34
12		2014013075	2016	9	8	12	37	-13.49
3		2012011551	2015	2	8	17	6	-11.06
1		2014013615	2015	5	28	13	25	81.20
6		2015012346	2015	3	20	0	51	-11.96
7		2012012798	2016	11	6	15	29	-20.54
6		2013012630	2015	8	7	17	42	-9.21
2		2012011254	2016	6	26	14	32	-12.05
8		2013012551	2016	8	9	8	34	-6.82
11		2015013013	2016	5	12	0	6	-16.02
10		2014013031	2015	6	18	1	37	-18.63
6		2012012650	2016	8	5	19	43	-15.74
2		2012011236	2016	7	21	5	57	-11.85
10		2015011763	2016	4	18	3	44	-4.94
7		2015012028	2015	11	13	6	56	-19.61
7		2012013350	2015	10	29	1	37	-12.94
11		2013011089	2015	1	20	17	7	-19.53
8		2015012704	2016	12	3	23	30	126.25
6		2014010862	2016	9	17	2	19	-10.88
10		2012011012	2016	5	14	1	11	-3.63
12		2014013667	2015	12	16	21	18	-3.73
12		2013010871	2015	2	25	19	59	-7.65
7		2013011530	2015	10	18	23	7	-22.13
10		2013011275	2016	10	4	5	41	-13.87
3		2012011512	2016	1	23	21	51	-22.31
5		2012010601	2015	1	25	23	3	-12.79
14		2014012114	2016	10	13	4	37	-7.12
14		2012012711	2016	6	16	5	8	419.06
13		2014013096	2016	6	20	15	56	402.35
3		2014013345	2015	12	29	7	0	-3.60
6		2012013716	2016	8	2	8	17	-14.24
2		2014011342	2016	9	26	10	44	-14.64
3		2013012238	2016	10	27	1	20	-7.74
8		2012012649	2016	4	3	13	9	-20.04
3		2014010989	2015	1	22	4	7	-7.04
6		2012013153	2016	5	28	3	7	-4.83
11		2014010949	2016	12	26	18	18	-16.38
6		2012012782	2015	2	11	13	34	-10.34
13		2014012536	2016	11	22	5	18	-13.89
3		2013010625	2016	9	21	7	29	-7.43
14		2014012794	2016	2	14	0	1	-15.79
9		2013013755	2015	11	23	4	54	-9.97
11		2012010045	2016	7	20	1	47	-19.63
12		2014010854	2015	2	6	11	38	-14.29
5		2012011397	2016	12	21	4	23	-19.24
5		2013012209	2015	3	26	3	44	-7.06
